idx,Text,Score
90,The fire is in the stage equipment please send firefighters!, fire
91,We need help the fire is in the dressing room!, fire
92,The fire is in the electrical wiring please come quickly!, fire
93,Help! There's a fire in the shopping mall!, fire
94,The fire is in the food court please send help!, fire
95,We need help the fire is in the department store!, fire
96,The fire is in the parking garage please come quickly!, fire
97,Help! There's a fire in the hotel!, fire
98,The fire is in the kitchen please send firefighters!, fire
99,We need help the fire is in the conference room!, fire
100,Help there's a fire in the building!, fire
101,We have a fire here we need assistance!, fire
102,Please send the fire department immediately!, fire
103,The building is on fire we need help!, fire
104,There's smoke everywhere we need help!, fire
105,This is an emergency there's a fire in the building!, fire
106,The building is burning please send help!, fire
107,We need help there's a fire in the building!, fire
108,Fire we need assistance!, fire
109,We're trapped in the building there's a fire!, fire
110,There's a fire please send help right away!, fire
111,We need the fire department the building is on fire!, fire
112,Please hurry the building is on fire!, fire
113,We're in danger there's a fire in the building!, fire
114,This is not a drill there's a fire in the building!, fire
115,The fire is spreading we need help!, fire
116,There's a fire we can't get out!, fire
117,We need to evacuate there's a fire in the building!, fire
118,The building is engulfed in flames we need help!, fire
119,The smoke is too thick we need assistance!, fire
120,The fire is getting closer please send help!, fire
121,We need help the building is on fire!, fire
122,There's a fire we're trapped!, fire
123,We need the fire department the building is on fire!, fire
124,Please send help there's a fire in the building!, fire
125,We're in trouble there's a fire!, fire
126,The fire is out of control we need help!, fire
127,We can't get out there's a fire in the building!, fire
128,The building is on fire we need immediate assistance!, fire
129,We need help there's a fire and it's spreading!, fire
130,Please hurry the building is on fire!, fire
131,The fire is getting closer we need help!, fire
132,There's a fire we need assistance!, fire
133,The building is burning down we need help!, fire
134,We need the fire department there's a fire in the building!, fire
135,The smoke is making it hard to breathe we need help!, fire
136,Please send help there's a fire and we're trapped!, fire
137,We're in danger there's a fire in the building!, fire
138,We need to get out there's a fire!, fire
139,The building is on fire we need help immediately!, fire
140,There's a fire we can't find a way out!, fire
141,The fire is spreading quickly we need help!, fire
142,The flames are getting bigger we need assistance!, fire
143,We need the fire department there's a fire in the building!, fire
144,The building is on fire please send help!, fire
145,We're in trouble there's a fire and we can't get out!, fire
146,The fire is blocking our escape we need help!, fire
147,We need assistance there's a fire in the building!, fire
148,There's a fire we need to evacuate now!, fire
149,The building is on fire we need help immediately!, fire
150,Help! I think I'm having a heart attack!, medical
151,We need an ambulance! My friend has stopped breathing!, medical
152,There's been a car accident and someone is injured please send help!, medical
153,Help! My child has swallowed something and is choking!, medical
154,We need an ambulance! My wife is having a seizure!, medical
155,Someone has fallen and can't get up please send help!, medical
156,Help! My father has a severe allergic reaction!, medical
157,We need an ambulance! My sister has fainted!, medical
158,There's been a workplace injury please send help!, medical
159,Help! My baby is unresponsive and won't wake up!, medical
160,We need an ambulance! My brother is having a diabetic emergency!, medical
161,Someone has been bitten by a poisonous snake please send help!, medical
162,Help! My husband has a severe headache and is disoriented!, medical
163,We need an ambulance! My friend has been shot!, medical
164,There's been a hiking accident and someone is injured please send help!, medical
165,Help! My daughter has a deep cut and is bleeding heavily!, medical
166,We need an ambulance! My neighbor is having a stroke!, medical
167,Someone has fallen from a ladder please send help!, medical
168,Help! My mother is having a panic attack and can't breathe!, medical
169,We need an ambulance! My colleague has a severe asthma attack!, medical
170,There's been a house fire and someone is injured please send help!, medical
171,Help! My son is having a severe allergic reaction to food!, medical
172,We need an ambulance! My friend has been electrocuted!, medical
173,Someone has been attacked and needs medical attention please send help!, medical
174,Help! My wife is having a severe migraine and can't see!, medical
175,We need an ambulance! My brother has been hit by a car!, medical
176,There's been a boating accident and someone is injured please send help!, medical
177,Help! My father is having a severe back pain and can't move!, medical
178,We need an ambulance! My sister has a high fever and is delirious!, medical
179,Someone has fallen down the stairs please send help!, medical
180,Help! My baby is having a severe allergic reaction to a medication!, medical
181,We need an ambulance! My friend has been bitten by a dog!, medical
182,There's been a construction site accident and someone is injured please send help!, medical
183,Help! My husband is having a severe stomach ache and is vomiting!, medical
184,We need an ambulance! My colleague has been stabbed!, medical
185,Someone has been injured during a sports game please send help!, medical
186,Help! My daughter has a severe asthma attack and can't breathe!, medical
187,We need an ambulance! My neighbor has fallen and broken their leg!, medical
188,There's been a skiing accident and someone is injured please send help!, medical
189,Help! My son is having a severe headache and is dizzy!, medical
190,We need an ambulance! My friend has a deep cut and needs stitches!, medical
191,Someone has been trapped in a car accident please send help!, medical
192,Help! My wife is having a severe allergic reaction to a bee sting!, medical
193,We need an ambulance! My brother has a severe burn from hot water!, medical
194,There's been a cycling accident and someone is injured please send help!, medical
195,Help! My father is having a severe chest pain and is sweating profusely!, medical
196,We need an ambulance! My sister has fallen and hit her head!, medical
197,Someone has been bitten by a venomous spider please send help!, medical
198,Help! My baby is having a severe cough and difficulty breathing!, medical
199,We need an ambulance! My friend is having a severe panic attack!, medical
200,There's been a workplace accident and someone is injured please send help!, medical
201,Help! My husband is having a severe allergic reaction to medication!, medical
202,We need an ambulance! My colleague has fainted and is unresponsive!, medical
203,Someone has been injured in a fire please send help!, medical
204,Help! My daughter has a severe burn from hot oil!, medical
205,We need an ambulance! My neighbor is having a severe nosebleed!, medical
206,There's been a hiking accident and someone has a broken bone please send help!, medical
207,Help! My son is having a severe allergic reaction to pollen!, medical
208,We need an ambulance! My friend has been hit by a falling object!, medical
209,Someone has been bitten by a poisonous spider please send help!, medical
210,Help! My wife is having a severe stomach pain and is vomiting blood!, medical
211,We need an ambulance! My brother has been stabbed in the chest!, medical
212,There's been a car accident and someone has a head injury please send help!, medical
213,Help! My father is having a severe nosebleed and is dizzy!, medical
214,We need an ambulance! My sister has a severe migraine and can't see!, medical
215,Someone has been injured in a sports game and is unconscious please send help!, medical
216,Help! My baby has a severe rash and is crying uncontrollably!, medical
217,We need an ambulance! My friend is having a seizure and is convulsing!, medical
218,There's been a workplace injury and someone has a broken arm please send help!, medical
219,Help! My husband is having a severe allergic reaction to shellfish!, medical
220,We need an ambulance! My colleague is having a severe headache and is vomiting!, medical
221,Someone has been injured in a boating accident please send help!, medical
222,Help! My daughter is having a severe stomach ache and is constipated!, medical
223,We need an ambulance! My neighbor has fallen down the stairs and has a broken ankle!, medical
224,There's been a hiking accident and someone has a twisted ankle please send help!, medical
225,Help! My son has a severe burn from touching hot metal!, medical
226,We need an ambulance! My friend has been hit by a car and is bleeding!, medical
227,Someone has been bitten by a venomous snake please send help!, medical
228,Help! My wife is having a severe allergic reaction to insect bites!, medical
229,We need an ambulance! My brother has a severe chest pain and is short of breath!, medical
230,There's been a house fire and someone has smoke inhalation please send help!, medical
231,Help! My father is having a severe stomach ache and is constipated!, medical
232,We need an ambulance! My sister has a severe headache and is sensitive to light!, medical
233,Someone has been injured in a construction site accident please send help!, medical
234,Help! My baby has a severe fever and is vomiting!, medical
235,We need an ambulance! My friend has a severe nosebleed and can't stop it!, medical
236,There's been a skiing accident and someone has a broken leg please send help!, medical
237,Help! My husband has a severe burn from hot oil!, medical
238,We need an ambulance! My colleague has a severe chest pain and is sweating!, medical
239,Someone has been bitten by a venomous insect please send help!, medical
240,Help! My daughter has a severe headache and is feeling dizzy!, medical
241,We need an ambulance! My neighbor has a severe allergic reaction to medication!, medical
242,There's been a cycling accident and someone has a broken arm please send help!, medical
243,Help! My son has a severe asthma, medical
244,Someone has been injured in a skateboarding accident please send help!, medical
245,Help! My wife is having a severe allergic reaction to food!, medical
246,We need an ambulance! My brother has a severe back pain and can't move!, medical
247,There's been a workplace accident and someone has a concussion please send help!, medical
248,Help! My father is having a severe heart attack we need an ambulance immediately!, medical
249,We need an ambulance! My friend has fallen down the stairs and is unconscious!, medical
250,Help I need medical attention!, medical
251,I need an ambulance please!, medical
252,Can someone call an ambulance for me?, medical
253,Please send help I'm having a medical emergency!, medical
254,I'm in pain I need medical help!, medical
255,I need to see a doctor right away!, medical
256,Please help me I'm feeling very ill!, medical
257,I'm having trouble breathing I need medical attention!, medical
258,This is an emergency I need medical help!, medical
259,I've been injured please send an ambulance!, medical
260,Can someone please call for medical assistance?, medical
261,I need urgent medical care!, medical
262,Please hurry I need medical attention!, medical
263,I'm feeling faint I need medical help!, medical
264,I'm having a heart attack I need an ambulance!, medical
265,I'm feeling dizzy I need medical assistance!, medical
266,I need help I've been bitten by a snake!, medical
267,I'm having a seizure I need medical attention!, medical
268,Please send help I'm bleeding!, medical
269,I'm feeling very weak I need medical assistance!, medical
270,I've been poisoned please send an ambulance!, medical
271,I need medical help I've been stung by a bee!, medical
272,I'm having a stroke I need an ambulance!, medical
273,I need medical attention I've broken a bone!, medical
274,Can someone please call for medical help?, medical
275,I'm feeling sick I need to see a doctor!, medical
276,Please send an ambulance I'm having chest pains!, medical
277,I'm having an allergic reaction I need medical assistance!, medical
278,I need help I've been burned!, medical
279,I'm having a panic attack I need medical attention!, medical
280,elp I need medical attention!, medical
281,I need an ambulance please!, medical
282,Can someone call an ambulance for me?, medical
283,Please send help I'm having a medical emergency!, medical
284,I'm in pain I need medical help!, medical
285,I need to see a doctor right away!, medical
286,Please help me I'm feeling very ill!, medical
287,I'm having trouble breathing I need medical attention!, medical
288,This is an emergency I need medical help!, medical
289,I've been injured please send an ambulance!, medical
290,Can someone please call for medical assistance?, medical
291,I need urgent medical care!, medical
292,Please hurry I need medical attention!, medical
293,I'm feeling faint I need medical help!, medical
294,I'm having a heart attack I need an ambulance!, medical
295,I'm feeling dizzy I need medical assistance!, medical
296,I need help I've been bitten by a snake!, medical
297,I'm having a seizure I need medical attention!, medical
298,Please send help I'm bleeding!, medical
299,I'm feeling very weak I need medical assistance!, medical
300,I've been poisoned please send an ambulance!, medical
301,I need medical help I've been stung by a bee!, medical
302,I'm having a stroke I need an ambulance!, medical
303,I need medical attention I've broken a bone!, medical
304,Can someone please call for medical help?, medical
305,I'm feeling sick I need to see a doctor!, medical
306,Please send an ambulance I'm having chest pains!, medical
307,I'm having an allergic reaction I need medical assistance!, medical
308,I need help I've been burned!, medical
309,I'm having a panic attack I need medical attention!, medical
310,I'm feeling very cold I need medical help!, medical
311,I need medical assistance I've been electrocuted!, medical
312,I'm feeling very hot I need medical attention!, medical
313,I need help I've been shot!, medical
314,Please send help I've been in a car accident and I'm injured!, medical
315,I need medical assistance I've been stabbed!, medical
316,I'm feeling very anxious I need medical help!, medical
317,I'm feeling very depressed I need to see a doctor!, medical
318,I need help I've been hit by a car!, medical
319,I'm feeling very nauseous I need medical attention!, medical
320,I need medical help I've been in a fight and I'm injured!, medical
321,I'm having a diabetic emergency I need an ambulance!, medical
322,I'm feeling very thirsty I need medical assistance!, medical
323,I need help I've been attacked by a dog!, medical
324,I'm feeling very tired I need medical attention!, medical
325,Please send an ambulance I've been in a boating accident and I'm injured!, medical
326,I need medical help I'm having a severe headache!, medical
327,I'm feeling very stressed I need medical assistance!, medical
328,I'm having trouble seeing I need medical attention!, medical
329,Please send help I'm in need of medical assistance!, medical
330,I'm feeling very cold I need medical help!, medical
331,I need medical assistance I've been electrocuted!, medical
332,I'm feeling very hot I need medical attention!, medical
333,I need help I've been shot!, medical
334,Please send help I've been in a car accident and I'm injured!, medical
335,I need medical assistance I've been stabbed!, medical
336,I'm feeling very anxious I need medical help!, medical
337,I'm feeling very depressed I need to see a doctor!, medical
338,I need help I've been hit by a car!, medical
339,I'm feeling very nauseous I need medical attention!, medical
340,I need medical help I've been in a fight and I'm injured!, medical
341,I'm having a diabetic emergency I need an ambulance!, medical
342,I'm feeling very thirsty I need medical assistance!, medical
343,I need help I've been attacked by a dog!, medical
344,I'm feeling very tired I need medical attention!, medical
345,Please send an ambulance I've been in a boating accident and I'm injured!, medical
346,I need medical help I'm having a severe headache!, medical
347,I'm feeling very stressed I need medical assistance!, medical
348,I'm having trouble seeing I need medical attention!, medical
349,Please send help I'm in need of medical assistance!, medical
350,Emergency  car has hit a pedestrian and they need immediate assistance, car_accident
351,We require an ambulance immediately as  driver has collided with another vehicle, car_accident
352,Please send help right away!  car has crashed into a building and is in dire need of assistance, car_accident
353,We need an ambulance for  driver who has been in a car accident and is experiencing chest pains, car_accident
354,Help!  car has overturned and there are multiple injuries, car_accident
355,We require immediate assistance for  car accident victim who is experiencing severe pain, car_accident
356,Please send help!  car has crashed into a tree and the driver is unconscious, car_accident
357,We need an ambulance for  driver who has been involved in a car accident and is experiencing difficulty breathing, car_accident
358,Help!  car has hit a pole and there are multiple injuries that need immediate attention, car_accident
359,We require an ambulance immediately for  car accident victim who is complaining of a headache, car_accident
360,Please send help!  car has collided with another vehicle and both drivers need medical attention, car_accident
361,We need assistance for  car accident victim who has lost consciousness, car_accident
362,Help!  car has hit a cyclist and they are in critical condition, car_accident
363,We require immediate assistance for  driver who has been involved in a car accident and is experiencing back pain, car_accident
364,Please send help!  car has crashed into a wall and the driver needs medical attention, car_accident
365,We need an ambulance for  driver who has been involved in a car accident and is experiencing leg pain, car_accident
366,Help!  car has hit a pedestrian and they are not breathing, car_accident
367,We require immediate assistance for  driver who has been in a car accident and is experiencing neck pain, car_accident
368,Please send help!  car has hit a pole and the driver is in critical condition, car_accident
369,We need an ambulance for  driver who has been involved in a car accident and is experiencing abdominal pain, car_accident
370,Help!  car has collided with a truck and there are multiple injuries that require medical attention, car_accident
371,We require immediate assistance for  car accident victim who is complaining of chest pain, car_accident
372,Please send help!  car has crashed into a wall and there are multiple injuries, car_accident
373,We need an ambulance for  driver who has been involved in a car accident and is experiencing shoulder pain, car_accident
374,Help!  car has hit a pedestrian and they have suffered head injuries, car_accident
375,We require immediate assistance for  car accident victim who is complaining of back pain, car_accident
376,Please send help!  car has hit a tree and the driver needs medical attention, car_accident
377,We need an ambulance for  driver who has been involved in a car accident and is experiencing foot pain, car_accident
378,Help!  car has collided with a bus and there are multiple injuries that require medical attention, car_accident
379,We require immediate assistance for  car accident victim who is complaining of arm pain, car_accident
380,Please send help!  car has crashed into a wall and there are serious injuries, car_accident
381,We need an ambulance for  driver who has been involved in a car accident and is experiencing hip pain, car_accident
382,Help!  car has hit a pedestrian and they need immediate assistance, car_accident
383,We require immediate assistance for  car accident victim who is complaining of a broken leg, car_accident
384,Please send help!  car has hit a pole and the driver is in critical condition, car_accident
385,We need an ambulance for  driver who has been involved in a car accident and is experiencing facial injuries, car_accident
386,Help!  car has collided with another vehicle and there are multiple injuries, car_accident
387,We require immediate assistance for  car accident victim who is complaining of a broken arm, car_accident
388,Please send help!  car hit a ma, car_accident
389,Please send help!  car has crashed into a ditch and the driver is trapped, car_accident
390,We need an ambulance for  driver who has been involved in a car accident and is experiencing internal injuries, car_accident
391,Someone has been hit by  car and is bleeding profusely please send help, car_accident
392,We require immediate assistance for  car accident victim who is complaining of a broken collarbone, car_accident
393,Please send help!  car has hit a wall and there are multiple injuries, car_accident
394,We need an ambulance for  driver who has been involved in a car accident and is experiencing facial lacerations, car_accident
395,Help!  car has collided with another vehicle and there are several people injured, car_accident
396,We require immediate assistance for  car accident victim who is complaining of a broken wrist, car_accident
397,Please send help!  car has crashed into a ditch and the driver is unconscious, car_accident
398,We need an ambulance for  driver who has been involved in a car accident and is experiencing whiplash, car_accident
399,Help!  car has hit a pedestrian and they are bleeding heavily, car_accident
400,We require immediate assistance for  car accident victim who is complaining of a broken ankle, car_accident
401,Please send help!  car has hit a pole and there are serious injuries, car_accident
402,We need an ambulance for  driver who has been involved in a car accident and is experiencing disorientation, car_accident
403,Help!  car has collided with another vehicle and there are people trapped inside, car_accident
404,We require immediate assistance for  car accident victim who is complaining of a broken rib, car_accident
405,Please send help!  car has hit a wall and there are serious injuries, car_accident
406,We need an ambulance for  driver who has been involved in a car accident and is experiencing internal bleeding, car_accident
407,Help!  car has hit a cyclist and they need immediate medical attention, car_accident
408,We require immediate assistance for  car accident victim who is complaining of a broken nose, car_accident
409,Please send help!  car has collided with a pedestrian and both require medical attention, car_accident
410,We need an ambulance for  driver who has been involved in a car accident and is experiencing a concussion, car_accident
411,Help!  car has hit a pole and there are people trapped inside, car_accident
412,We require immediate assistance for  car accident victim who is complaining of a broken finger, car_accident
413,Please send help!  car has collided with another vehicle and there are multiple injuries, car_accident
414,We need an ambulance for  driver who has been involved in a car accident and is experiencing a spinal injury, car_accident
415,Help!  car has hit a pedestrian and they are in critical condition, car_accident
416,We require immediate assistance for  car accident victim who is complaining of a broken collarbone and leg, car_accident
417,Please send help!  car has collided with a tree and the driver needs medical attention, car_accident
418,We need an ambulance for  driver who has been involved in a car accident and is experiencing a head injury, car_accident
419,Help!  car has hit a pedestrian and they are not breathing, car_accident
420,We require immediate assistance for  car accident victim who is complaining of a broken jaw, car_accident
421,Please send help!  car has crashed into a building and there are multiple injuries, car_accident
422,We need an ambulance for  driver who has been involved in a car accident and is experiencing a broken spine, car_accident
423,Help!  car has hit a cyclist and they are bleeding heavily, car_accident
424,We require immediate assistance for  car accident victim who is complaining of a broken foot and ankle, car_accident
425,Please send help!  car has collided with another vehicle and there are people trapped inside, car_accident
426,We need an ambulance for  driver who has been involved in a car accident and is experiencing a broken pelvis, car_accident
427,Help!  car has hit a pedestrian and they have suffered multiple injuries, car_accident
428,Help!  car has hit a pedestrian and they have suffered serious head injuries, car_accident
429,We require immediate assistance for  car accident victim who is complaining of a broken tibia and fibula, car_accident
430,Please send help!  car has collided with a wall and there are multiple injuries, car_accident
431,We need an ambulance for  driver who has been involved in a car accident and is experiencing neck pain, car_accident
432,Help!  car has hit a cyclist and they are experiencing severe bleeding, car_accident
433,We require immediate assistance for  car accident victim who is complaining of a broken arm and leg, car_accident
434,Please send help!  car has collided with another vehicle and there are people trapped inside, car_accident
435,We need an ambulance for  driver who has been involved in a car accident and is experiencing a punctured lung, car_accident
436,Help!  car has hit a pedestrian and they are not conscious, car_accident
437,We require immediate assistance for  car accident victim who is complaining of a broken clavicle and humerus, car_accident
438,Please send help!  car has collided with a tree and the driver needs immediate medical attention, car_accident
439,We need an ambulance for  driver who has been involved in a car accident and is experiencing a ruptured spleen, car_accident
440,We require immediate assistance for a person who has been shot and is in critical condition, car_accident
441,There is a person who is being threatened with violence and intimidation by someone they know, car_accident
442,We need help to protect a person who is at risk of being the victim of a violent crime, car_accident
443,There is a person who is being targeted with violent and hateful behavior based on their political beliefs, car_accident
444,We need assistance dealing with a violent and dangerous riot that has broken out in the city, car_accident
445,There is a person who is being subjected to violent and abusive behavior by their partner, car_accident
446,We need help to diffuse a situation before it turns violent and potentially deadly, car_accident
447,There is a person who is being held captive and subjected to violent and cruel treatment, car_accident
448,Please send help urgently! A person is being threatened with harm by a group of people, car_accident
449,We need assistance dealing with a violent and dangerous protest that has turned chaotic, car_accident
450,There is a person who is being targeted with violent and hateful behavior based on their socioeconomic status, car_accident
451,We need help to prevent a violent and dangerous individual from causing harm to themselves or others, car_accident
452,Help there's been an accident!, car_accident
453,I've been in a car accident please send help!, car_accident
454,Someone please call for emergency assistance!, car_accident
455,We've been in an accident we need help!, car_accident
456,Please send an ambulance there's been a crash!, car_accident
457,I'm trapped I need help getting out!, car_accident
458,I've been injured please send an ambulance!, car_accident
459,Can someone please call for help we're in an accident!, car_accident
460,This is an emergency we need help now!, car_accident
461,We've been in a collision please send help!, car_accident
462,I need assistance I can't move!, car_accident
463,Please hurry there's been an accident!, car_accident
464,I'm bleeding I need medical assistance!, car_accident
465,We need help we're stuck in our car!, car_accident
466,We've been in an accident please send help right away!, car_accident
467,Please help us there's been a serious accident!, car_accident
468,We've had a car crash we need an ambulance!, car_accident
469,Can someone please call for assistance we're in trouble!, car_accident
470,We need help our car is on fire!, car_accident
471,I'm in shock please send an ambulance!, car_accident
472,There's been a major accident we need help!, car_accident
473,We've been hit by another car we need assistance!, car_accident
474,We need help we're stranded on the side of the road!, car_accident
475,I'm feeling dizzy I need medical assistance!, car_accident
476,Can someone please call for help we're in a bad accident!, car_accident
477,We need help there's been a pile-up!, car_accident
478,We've had an accident please send help!, car_accident
479,I'm injured please send an ambulance!, car_accident
480,We need assistance there's been a multi-car accident!, car_accident
481,Can someone please call for emergency services we're in an accident!, car_accident
482,We need help our car is upside down!, car_accident
483,I'm feeling very anxious I need help!, car_accident
484,There's been a head-on collision we need assistance!, car_accident
485,We're trapped in our car we need help getting out!, car_accident
486,We need help our car is sinking in water!, car_accident
487,I'm in pain I need medical assistance!, car_accident
488,We need assistance there's been a hit-and-run!, car_accident
489,We're stuck in a ditch we need help!, car_accident
490,There's been an accident please send help quickly!, car_accident
491,We need assistance our car is about to explode!, car_accident
492,I'm having trouble breathing I need medical help!, car_accident
493,Can someone please call for an ambulance we're in an accident!, car_accident
494,We've had a serious accident we need help!, car_accident
495,We need assistance there's been a rollover!, car_accident
496,Our car is on fire please send help!, car_accident
497,We've been in a bad crash please send an ambulance!, car_accident
498,I'm feeling very scared I need help!, car_accident
499,We need assistance our car is teetering on a cliff!, car_accident
500,Can someone please call for help we're in a major accident!, car_accident
501,There's been a terrible accident we need assistance urgently!, car_accident
502,We need urgent assistance due to flooding caused by heavy rain, natural_disasters
503,There is a landslide that has blocked a major road and we need help clearing it, natural_disasters
504,Our house has been severely damaged by a tornado and we need help, natural_disasters
505,An earthquake has caused widespread destruction and we need urgent help to rescue survivors, natural_disasters
506,We need to evacuate our home due to an approaching forest fire, natural_disasters
507,A flash flood has trapped a group of people and we need assistance to rescue them, natural_disasters
508,We need help to restore power and communication lines disrupted by a severe storm, natural_disasters
509,There is a volcanic eruption that is endangering nearby residents and we need help to evacuate them, natural_disasters
510,We need assistance to clear debris and repair damages caused by a hurricane, natural_disasters
511,A snowstorm has stranded a group of people and we need help to rescue them, natural_disasters
512,We need help to escape rising floodwaters that have trapped us on the rooftop, natural_disasters
513,A hailstorm has caused extensive damage to our property and we need help to repair it, natural_disasters
514,We need help searching for missing individuals caught in a mudslide, natural_disasters
515,A wildfire has spread rapidly and we need help to contain it, natural_disasters
516,We need to evacuate a group of people stranded on an island due to a tidal wave, natural_disasters
517,A cyclone has caused severe damage to our community and we need urgent help to rebuild it, natural_disasters
518,Our home has been destroyed by a tornado and we need shelter urgently, natural_disasters
519,A blizzard has caused road closures and we need help to clear them, natural_disasters
520,We need assistance to transport a group of people stuck in a flooded area, natural_disasters
521,A thunderstorm has caused power outages and we need help to restore it, natural_disasters
522,A tsunami has devastated our community and we need help to rebuild it, natural_disasters
523,We need assistance to rescue a group of people stuck on a mountain due to a snowstorm, natural_disasters
524,A drought has caused severe water scarcity and we need assistance to provide relief, natural_disasters
525,We need to evacuate our home due to an approaching wildfire, natural_disasters
526,A tornado has caused widespread destruction and we need urgent help to rescue survivors, natural_disasters
527,Our home has been damaged by a severe storm and we need shelter urgently, natural_disasters
528,A volcanic eruption has caused ashfall and we need help to clean it up, natural_disasters
529,We need assistance to repair damages caused by a flood, natural_disasters
530,A heatwave has caused several cases of heatstroke and we need assistance to provide medical aid, natural_disasters
531,We need to evacuate a group of people trapped in a building due to an earthquake, natural_disasters
532,A hurricane has caused extensive damage to our property and we need help to repair it, natural_disasters
533,We need assistance to rescue a group of people stuck on a boat due to a storm, natural_disasters
534,A blizzard has caused severe snowdrifts and we need help to clear them, natural_disasters
535,We need help to transport a group of people stranded in a remote area due to a flash flood, natural_disasters
536,A cyclone has caused widespread destruction and we need urgent help to rescue survivors, natural_disasters
537,Our community has been devastated by a natural disaster and we need help to rebuild it, natural_disasters
538,There is a sinkhole that has formed and we need urgent help to rescue anyone who might be trapped, natural_disasters
539,We need assistance to clear the debris caused by a landslide, natural_disasters
540,A tsunami warning has been issued and we need to evacuate our homes immediately, natural_disasters
541,A tornado has caused severe damage to our property and we need help to repair it, natural_disasters
542,We need assistance to rescue a group of people stuck on , natural_disasters
543,An avalanche has blocked a major road and we need help to clear it, natural_disasters
544,A severe thunderstorm has caused widespread power outages and we need help to restore it, natural_disasters
545,We need assistance to evacuate a group of people trapped in a flooded area, natural_disasters
546,A wildfire has caused significant damage to our property and we need help to rebuild it, natural_disasters
547,We need to transport a group of people stranded in a remote area due to a snowstorm, natural_disasters
548,A hurricane warning has been issued and we need to evacuate our homes immediately, natural_disasters
549,A tornado has touched down causing significant damage to our property and we need help to repair it, natural_disasters
550,We need assistance to rescue a group of people stuck in a cave due to a flash flood, natural_disasters
